,Make,Model,Battery_(Kwh),Acceleration_in_Secs_(1-100),Top_Speed_(km/h),Range_(km),Efficiency_(Wh/km),Price_in_Germany (€),Make/Model
218,Citroen,e-SpaceTourer XL 50 kWh,45.0,12.1,130,175,257,52230.0,Citroen e-SpaceTourer XL 50 kWh
219,Citroen,e-Jumpy Combi XS 50 kWh,45.0,12.1,130,180,250,,Citroen e-Jumpy Combi XS 50 kWh
220,Peugeot,e-Traveller Compact 50 kWh,45.0,12.1,130,180,250,50880.0,Peugeot e-Traveller Compact 50 kWh
221,Opel,Zafira-e Life S 50 kWh,45.0,12.1,130,180,250,56700.0,Opel Zafira-e Life S 50 kWh
222,Opel,Vivaro-e Combi L 75 kWh,65.0,13.3,130,250,260,57061.0,Opel Vivaro-e Combi L 75 kWh
223,Opel,Vivaro-e Combi M 50 kWh,45.0,12.1,130,180,250,50278.0,Opel Vivaro-e Combi M 50 kWh
224,Citroen,e-SpaceTourer XS 50 kWh,45.0,12.1,130,180,250,50880.0,Citroen e-SpaceTourer XS 50 kWh
225,Peugeot,e-Expert Combi Long 50 kWh,45.0,13.1,130,175,257,50980.0,Peugeot e-Expert Combi Long 50 kWh
226,Peugeot,e-Expert Combi Standard 50 kWh,45.0,13.1,130,180,250,50190.0,Peugeot e-Expert Combi Standard 50 kWh
227,Opel,Zafira-e Life M 50 kWh,45.0,12.1,130,180,250,53800.0,Opel Zafira-e Life M 50 kWh
