nrg_bal,siec,unit,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
FC_TRA_ROAD_E,O4630,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.099 	0.689 	0.547 	0.788 	0.709 
FC_TRA_ROAD_E,O4630,KTOE,NL	367.026 	343.277 	309.813 	304.416 	286.064 	220.216 	192.148 	181.356 	162.997 	148.092 	138.096 	115.914 
FC_TRA_ROAD_E,O4630,KTOE,NO	2.202 	2.202 	2.202 	2.202 	2.202 	2.202 	4.404 	4.404 	7.708 	7.708 	5.140 	5.962 
FC_TRA_ROAD_E,O4630,KTOE,PL	1816.136 	1823.827 	1766.695 	1764.498 	1750.215 	1763.399 	1790.867 	1896.341 	2012.302 	2039.495 	2125.967 	1906.229 
FC_TRA_ROAD_E,O4630,KTOE,PT	32.961 	31.862 	27.467 	34.059 	36.257 	37.355 	39.553 	40.652 	40.609 	39.859 	40.839 	30.791 
FC_TRA_ROAD_E,O4630,KTOE,RO	74.742 	19.545 	82.779 	57.485 	52.887 	58.635 	63.234 	74.731 	90.120 	93.719 	98.626 	88.478 
FC_TRA_ROAD_E,O4630,KTOE,RS	382.345 	336.741 	307.361 	296.061 	265.551 	245.211 	189.841 	167.241 	132.904 	81.488 	100.776 	75.891 
FC_TRA_ROAD_E,O4630,KTOE,SE	1.039 	1.097 	1.018 	0.634 	0.331 	0.389 	2.171 	0.763 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,SI	4.400 	5.499 	6.599 	8.799 	12.099 	13.199 	14.299 	15.398 	15.097 	14.855 	14.231 	9.151 
FC_TRA_ROAD_E,O4630,KTOE,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,TR	2604.053 	2660.540 	2826.612 	3028.470 	3052.210 	3207.561 	3412.199 	3599.513 	3522.533 	3701.099 	3789.152 	3462.886 
FC_TRA_ROAD_E,O4630,KTOE,UA	755.899 	717.445 	742.715 	804.242 	875.657 	845.992 	844.893 	1318.429 	1633.754 	1732.416 	1977.644 	1344.798 
FC_TRA_ROAD_E,O4630,KTOE,UK	117.468 	116.208 	107.749 	102.043 	103.178 	96.609 	89.916 	77.864 	74.209 	64.704 	67.304 	: 
FC_TRA_ROAD_E,O4630,KTOE,XK	13.439 	13.439 	13.189 	12.090 	9.892 	7.694 	8.793 	8.793 	8.411 	8.053 	6.947 	7.202 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,AL	103.927 	125.136 	115.592 	100.745 	109.229 	109.229 	109.229 	99.685 	96.715 	97.776 	97.776 	69.588 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,AT	1774.838 	1764.095 	1632.260 	1585.826 	1554.830 	1524.254 	1539.983 	1521.948 	1504.984 	1563.337 	1556.921 	1290.839 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,BA	: 	: 	: 	: 	: 	200.088 	205.409 	210.731 	200.088 	189.080 	181.064 	147.738 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,BE	1389.351 	1235.351 	1187.458 	1156.398 	1154.132 	1242.012 	1323.649 	1431.612 	1431.632 	1603.542 	1800.606 	1489.419 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,BG	647.368 	610.586 	564.345 	540.174 	442.438 	505.493 	520.206 	492.882 	504.957 	477.508 	472.814 	459.238 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,CY	405.247 	412.654 	407.364 	393.608 	369.272 	360.808 	365.040 	374.563 	371.281 	361.447 	356.235 	301.006 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,CZ	2056.983 	1867.954 	1795.898 	1673.970 	1573.909 	1557.936 	1570.454 	1617.440 	1600.258 	1601.411 	1601.624 	1455.951 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,DE	19720.607 	18859.481 	18779.401 	17617.713 	17590.673 	17682.194 	16926.336 	16938.454 	17186.881 	16413.325 	16585.002 	14914.686 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,DK	1692.663 	1574.448 	1540.972 	1381.958 	1335.927 	1321.281 	1389.281 	1377.773 	1312.176 	1316.359 	1317.570 	1175.514 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,EA19	64111.497 	60495.599 	58498.841 	54094.820 	52716.844 	52546.793 	51482.447 	51508.371 	51681.926 	51747.236 	52983.336 	44863.451 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,EE	306.869 	289.004 	267.985 	256.425 	240.661 	241.712 	240.661 	254.323 	266.934 	272.189 	273.240 	214.388 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,EL	4247.827 	3867.393 	3497.468 	3035.063 	2775.485 	2643.069 	2573.708 	2536.926 	2450.750 	2402.845 	2345.502 	1880.541 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,ES	6099.873 	5619.502 	5228.009 	4705.314 	4596.331 	4532.846 	4560.356 	4766.683 	4868.260 	5072.471 	5405.768 	4279.963 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,EU27_2020	80044.689 	75458.507 	72649.714 	67435.049 	65334.809 	65081.704 	64117.551 	64334.479 	64704.574 	64805.099 	66226.044 	56952.706 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,FI	1528.232 	1492.285 	1411.149 	1355.689 	1385.922 	1334.093 	1326.837 	1321.654 	1269.824 	1251.166 	1223.178 	1127.811 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,FR	8081.406 	7430.900 	7287.978 	6858.161 	6629.065 	6665.846 	6744.664 	6901.248 	7132.445 	7356.172 	7860.317 	6746.204 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,GE	: 	: 	: 	: 	393.045 	399.350 	444.540 	627.400 	563.294 	566.216 	577.370 	571.111 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,HR	719.495 	677.985 	662.019 	615.188 	601.353 	554.522 	553.457 	556.651 	534.386 	519.205 	495.205 	411.202 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,HU	1578.666 	1348.333 	1245.343 	1233.782 	1167.574 	1243.241 	1283.176 	1306.296 	1337.824 	1396.675 	1507.022 	1308.398 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,IE	1646.474 	1525.066 	1356.797 	1280.118 	1184.269 	1176.814 	1018.130 	1002.156 	903.536 	823.577 	780.177 	577.885 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,IS	164.004 	155.536 	150.282 	143.976 	141.874 	138.722 	138.722 	144.275 	141.530 	134.472 	125.573 	96.334 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,IT	10956.912 	10275.915 	9908.092 	8769.944 	8398.968 	8494.602 	8191.937 	7649.661 	7432.637 	7639.952 	7711.665 	6078.996 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,LT	366.938 	296.332 	257.820 	231.075 	209.679 	205.400 	199.857 	215.635 	212.238 	232.306 	242.487 	236.918 
FC_TRA_ROAD_E,O4652XR5210B,KTOE,LU	389.025 	361.568 	368.860 	359.250 	327.191 	313.942 	292.724 	284.474 	300.622 	328.280 	342.829 	261.775 
